OG	sample_6C
OG14	195.0
OG36	1461.0
OG39	559.0
OG58	336.0
OG100	995.0
OG103	466.0
OG104	219.0
OG112	428.0
OG124	3013.0
OG134	154.0
OG136	3.0
OG175	22.0
OG183	0.0
OG195	19.0
OG196	27.0
OG204	248.0
OG213	424.0
OG231	200.0
OG242	188.0
OG243	1415.0
OG244	1075.0
OG245	493.0
OG273	312.0
OG304	2930.0
OG305	528.0
OG306	10.0
OG310	16.0
OG336	447.0
OG342	656.0
OG349	4.0
OG356	19.0
OG361	783.0
OG369	61.0
OG370	332.0
OG371	314.0
OG372	207.0
OG373	3101.0
OG374	810.0
OG375	283.0
OG376	36.0
OG377	1057.0
OG378	1097.0
OG379	1144.0
OG380	764.0
OG381	957.0
OG382	4.0
OG383	175.0
OG384	2848.0
OG385	905.0
OG386	1447.0
OG387	706.0
OG388	214.0
OG389	1888.0
OG390	255.0
OG391	701.0
OG392	2032.0
OG393	696.0
OG394	2341.0
OG395	388.0
OG396	1921.0
OG397	1576.0
OG398	74.0
OG399	1009.0
OG400	566.0
OG401	5187.0
OG402	67.0
OG403	4582.0
OG404	26.0
OG405	394.0
OG406	1383.0
OG407	516.0
OG408	457.0
OG409	1307.0
OG410	1092.0
OG411	5368.0
OG412	371.0
OG413	2576.0
OG414	1080.0
OG415	1111.0
OG416	1289.0
OG417	1183.0
OG418	784.0
OG419	726.0
OG420	9414.0
OG421	8.0
OG422	1088.0
OG423	77.0
OG424	663.0
OG425	1515.0
OG426	560.0
OG427	707.0
OG428	2621.0
OG429	8251.0
OG430	2548.0
OG431	413.0
OG432	1300.0
OG433	3024.0
OG434	3907.0
OG435	763.0
OG436	350.0
OG437	602.0
OG438	5836.0
OG439	9.0
OG440	1095.0
OG441	1230.0
OG442	367.0
OG443	4034.0
OG444	1505.0
OG445	930.0
OG446	256.0
OG447	4795.0
OG448	1593.0
OG449	753.0
OG450	1067.0
OG451	1014.0
OG452	1096.0
OG453	41.0
OG454	226.0
OG455	160.0
OG456	105.0
OG457	2309.0
OG458	70.0
OG459	1804.0
OG460	162.0
OG461	2276.0
OG462	1655.0
OG463	1490.0
OG464	27.0
OG465	760.0
OG466	2405.0
OG467	1404.0
OG468	1533.0
OG469	71.0
OG470	24.0
OG471	522.0
OG472	3130.0
OG473	201.0
OG474	130.0
OG475	265.0
OG476	31805.0
OG477	999.0
OG478	4002.0
OG479	462.0
OG480	4091.0
OG481	3965.0
OG482	3460.0
OG483	2618.0
OG484	76.0
OG485	1272.0
OG486	1537.0
OG487	614.0
OG488	379.0
OG489	2584.0
OG490	2467.0
OG491	401.0
OG492	564.0
OG493	33.0
OG494	542.0
OG495	1349.0
OG496	2380.0
OG497	155.0
OG498	1976.0
OG499	4130.0
OG500	162.0
OG501	435.0
OG502	127.0
OG503	1932.0
OG504	1144.0
OG505	183.0
OG506	381.0
OG507	30.0
OG508	457.0
OG509	859.0
OG510	670.0
OG511	951.0
OG512	503.0
OG513	231.0
OG514	188.0
OG515	144.0
OG516	217.0
OG517	3.0
OG518	204.0
OG519	1106.0
OG520	1360.0
OG521	1776.0
OG522	934.0
OG523	3555.0
OG524	1846.0
OG525	3814.0
OG526	408.0
OG527	18.0
OG528	1129.0
OG529	42.0
OG530	633.0
OG531	175.0
OG532	1088.0
OG533	927.0
OG534	515.0
OG535	242.0
OG536	1294.0
OG537	1026.0
OG538	1142.0
OG539	849.0
OG540	495.0
OG541	1326.0
OG542	568.0
OG543	334.0
OG544	196.0
OG545	1404.0
OG546	1430.0
OG547	826.0
OG548	322.0
OG549	91.0
OG550	1097.0
OG551	1139.0
OG552	106.0
OG553	1057.0
OG554	6214.0
OG555	2329.0
OG556	1676.0
OG557	3658.0
OG558	761.0
OG559	4.0
OG560	6.0
OG561	249.0
OG562	376.0
OG563	634.0
OG564	892.0
OG565	118.0
OG566	831.0
OG567	260.0
OG568	3088.0
OG569	1590.0
OG570	323.0
OG571	656.0
OG572	1273.0
OG573	232.0
OG574	418.0
OG575	568.0
OG576	657.0
OG577	646.0
OG578	168.0
OG579	517.0
OG580	772.0
OG581	835.0
OG582	376.0
OG583	321.0
OG584	606.0
OG585	1212.0
OG586	161.0
OG587	260.0
OG588	163.0
OG589	1031.0
OG590	5651.0
OG591	2244.0
OG592	229.0
OG593	4187.0
OG594	461.0
OG595	7596.0
OG596	81.0
OG597	1387.0
OG598	2234.0
OG599	615.0
OG600	22.0
OG601	1028.0
OG602	3751.0
OG603	40.0
OG604	7765.0
OG605	1848.0
OG606	470.0
OG607	2156.0
OG608	74.0
OG609	277.0
OG610	6961.0
OG611	1481.0
OG612	882.0
OG613	77.0
OG614	116.0
OG615	183.0
OG616	1656.0
OG617	23.0
OG618	216.0
OG619	1223.0
OG620	550.0
OG621	1197.0
OG622	711.0
OG623	398.0
OG624	294.0
OG625	708.0
OG626	170.0
OG627	15027.0
OG628	226.0
OG629	600.0
OG630	389.0
OG631	3011.0
OG632	390.0
OG633	500.0
OG634	2478.0
OG635	2167.0
OG636	781.0
OG637	1497.0
OG638	1395.0
OG639	759.0
OG640	3437.0
OG641	6611.0
OG642	765.0
OG643	1351.0
OG644	145.0
OG645	1224.0
OG646	7073.0
OG647	377.0
OG648	476.0
OG649	21.0
OG650	4777.0
OG651	3115.0
OG652	714.0
OG653	487.0
OG654	458.0
OG655	150.0
OG656	46.0
OG657	1854.0
OG658	504.0
OG659	198.0
OG660	1181.0
OG661	846.0
OG662	118.0
OG663	3973.0
OG664	373.0
OG665	342.0
OG666	6.0
OG667	28.0
OG668	4450.0
OG669	806.0
OG670	96.0
OG671	37.0
OG672	167.0
OG673	1488.0
OG674	22.0
OG675	405.0
OG676	1350.0
OG677	95.0
OG678	10847.0
OG679	141.0
OG680	430.0
OG681	1316.0
OG682	3867.0
OG683	764.0
OG684	5320.0
OG685	2918.0
OG686	463.0
OG687	4227.0
OG688	3964.0
OG689	693.0
OG690	1364.0
OG691	147.0
OG692	330.0
OG693	3672.0
OG694	87.0
OG695	27.0
OG696	143.0
OG697	102.0
OG698	291.0
OG699	74.0
OG700	156.0
OG701	183.0
OG702	15610.0
OG703	279.0
OG704	10.0
OG705	6.0
OG706	170.0
OG707	1086.0
OG708	128.0
OG709	1290.0
OG710	386.0
OG711	532.0
OG712	1280.0
OG713	2636.0
OG714	2128.0
OG715	34.0
OG716	954.0
OG717	2380.0
OG718	1487.0
OG719	2080.0
OG720	245.0
OG721	89.0
OG722	765.0
OG723	348.0
OG724	1164.0
OG725	255.0
OG726	1507.0
OG727	368.0
OG728	248.0
OG729	205.0
OG730	728.0
OG731	600.0
OG732	41.0
OG733	159.0
OG734	4533.0
OG735	616.0
OG736	1605.0
OG737	567.0
OG738	4.0
OG739	809.0
OG740	2010.0
OG741	6399.0
OG742	1.0
OG743	252.0
OG744	220.0
OG745	845.0
OG746	2912.0
OG747	629.0
OG748	0.0
OG749	4549.0
OG750	1600.0
OG751	285.0
OG752	120.0
OG753	837.0
OG754	933.0
OG755	1471.0
OG757	4514.0
OG758	3570.0
OG759	2042.0
OG760	1106.0
OG761	516.0
OG762	451.0
OG763	126.0
OG764	884.0
OG765	190.0
OG766	20.0
OG767	95.0
OG768	4.0
OG769	1033.0
OG770	306.0
OG771	622.0
OG772	1646.0
OG773	3885.0
OG775	794.0
OG776	472.0
OG784	2942.0
OG785	1348.0
OG786	1716.0
OG787	498.0
OG789	106.0
OG798	1043.0
OG799	4534.0
OG800	554.0
OG801	3193.0
OG802	1581.0
OG803	2.0
OG804	180.0
OG805	50.0
OG806	55.0
OG807	2101.0
OG808	353.0
OG809	950.0
OG810	1713.0
OG811	6319.0
OG812	549.0
OG813	634.0
OG814	309.0
OG815	2922.0
OG816	1887.0
OG817	1102.0
OG818	488.0
OG819	2324.0
OG820	796.0
OG821	2025.0
OG822	838.0
OG823	3435.0
OG824	18.0
OG825	6774.0
OG826	530.0
OG827	440.0
OG828	4883.0
OG829	302.0
OG830	62.0
OG831	3069.0
OG832	907.0
OG833	4.0
OG834	332.0
OG835	4437.0
OG836	401.0
OG837	2838.0
OG840	1660.0
OG841	1359.0
OG842	1781.0
OG843	1052.0
OG844	3844.0
OG845	235.0
OG846	40898.0
OG847	532.0
OG862	939.0
OG863	789.0
OG864	836.0
OG865	1853.0
OG866	7169.0
OG867	616.0
OG868	68.0
OG871	153.0
OG872	995.0
OG873	412.0
